TICKER,2009,2010,2011,2012,2013
TBI,649.16673,793.10714,554.27004,625.0188,1064.9232
TMUS,2691.186937,4454.743252,3146.156229,3623.056812,26975.23661
TQNT,919.675914,1887.505743,809.0297971,775.75113,1349.19516
TSBK,32.68896704,28.46106481,28.46194544,42.270216,63.405324
UMPQ,1163.794735,1395.058395,1389.722999,1319.182617,2143.167105
WAFD,1892.497031,1718.749897,1388.359463,1768.919066,2119.382996
WBCO,182.6557439,210.0540222,183.3925263,210.8866048,275.5059204
WVVI,17.1114195,17.17434927,14.678931,18.05508513,#N/A N/A
WY,9118.025319,10146.01656,10015.06222,15089.3633,18422.62387
Z,#N/A N/A,#N/A N/A,631.8814404,940.085085,3220.404411
ZUMZ,211.1614291,385.09523,687.92885,883.0461,635.70654
