TICKER,2009,2010,2011,2012,2013
SMIT,-0.102564103,-0.165714286,0.095890411,-0.0625,-0.147166667
STSA,-0.929545537,-0.53641059,-0.119662772,0.272617112,0.655638791
SYA,,,-0.337956204,0.43109151,0.460708783
TBI,0.54754441,0.214719784,-0.228460256,0.134726225,0.636825397
TMUS,-0.486197174,0.655313555,-0.312751557,0.145161996,1.571609855
TQNT,0.744186047,0.948333333,-0.583404619,-0.008213552,0.726708075
TSBK,-0.404026846,-0.186959459,0.094213136,0.756962025,0.386167147
UMPQ,-0.073257177,-0.091718744,0.01723797,-0.048423679,0.629296695
WAFD,0.292780749,-0.125129266,-0.173167849,0.20586133,0.380557202
WBCO,0.372422472,0.148236323,-0.131289746,0.148669163,0.301762115
WVVI,0.174496644,0.002857143,-0.145299145,0.23,0.704607046
WY,0.409344688,0.186573479,-0.013734812,0.490091055,0.134795111
Z,,,,0.234430605,1.945225225
ZUMZ,0.70738255,1.112421384,0.033122441,-0.300792507,0.339515714
